count(10HZ)  latitude    longtitude  batteryPercent
0   42.404777 -122.885202 N/A
1   42.404777 -122.885202 N/A
2   42.404777 -122.885202 N/A
3   42.404777 -122.885202 N/A
4   42.404777 -122.885202 N/A
5   42.404777 -122.885202 N/A
6   42.404777 -122.885203 N/A
7   42.404777 -122.885203 N/A
8   42.404777 -122.885203 N/A
9   42.404777   -122.885203   88
10   42.404777   -122.885203   88
11   42.404777   -122.885203   88
12   42.404777   -122.885203   88
13   42.404777   -122.885203   88
14   42.404777   -122.885203   88
15   42.404777   -122.885203   88
16   42.404777   -122.885202   88
17   42.404777   -122.885202   88
18   42.404777   -122.885202   88
19   42.404777   -122.885203   88
20   42.404777   -122.885203   88
21   42.404777   -122.885203   88
22   42.404777   -122.885203   88
23   42.404777   -122.885203   88
24   42.404777   -122.885203   88
25   42.404777   -122.885203   88
26   42.404777   -122.885203   88
27   42.404778   -122.885203   88
28   42.404778   -122.885203   88
29   42.404778   -122.885203   88
30   42.404778   -122.885203   88
31   42.404778   -122.885203   88
32   42.404778   -122.885203   88
33   42.404778   -122.885203   88
34   42.404778   -122.885203   88
35   42.404778   -122.885203   88
36   42.404778   -122.885203   88
37   42.404778   -122.885203   88
38   42.404778   -122.885203   88
39   42.404778   -122.885203   88
40   42.404778   -122.885203   88
41   42.404778   -122.885203   88
42   42.404778   -122.885203   88
43   42.404778   -122.885203   88
44   42.404778   -122.885203   88
45   42.404778   -122.885203   88
46   42.404778   -122.885203   88
47   42.404778   -122.885203   88
48   42.404778   -122.885203   88
49   42.404778   -122.885203   88
50   42.404778   -122.885203   88
51   42.404778   -122.885203   88
52   42.404778   -122.885203   88
53   42.404779   -122.885203   88
54   42.404779   -122.885203   88
55   42.404779   -122.885203   88
56   42.404779   -122.885203   88
57   42.404779   -122.885203   88
58   42.404779   -122.885204   88
59   42.404779   -122.885204   88
60   42.404779   -122.885204   88
61   42.404779   -122.885204   88
62   42.404779   -122.885204   88
63   42.404779   -122.885204   88
64   42.404779   -122.885204   88
65   42.404779   -122.885204   88
66   42.404779   -122.885204   88
67   42.404779   -122.885204   88
68   42.404779   -122.885204   88
69   42.404779   -122.885204   88
70   42.404779   -122.885204   88
71   42.404779   -122.885204   88
72   42.404779   -122.885204   88
73   42.404779   -122.885204   88
74   42.404779   -122.885204   88
75   42.404779   -122.885204   88
76   42.404779   -122.885204   88
77   42.404779   -122.885204   88
78   42.404779   -122.885204   88
79   42.404779   -122.885204   88
80   42.404779   -122.885204   88
81   42.404779   -122.885204   88
82   42.404780   -122.885204   88
83   42.404780   -122.885204   88
84   42.404780   -122.885204   88
85   42.404780   -122.885204   88
86   42.404780   -122.885204   88
87   42.404780   -122.885204   88
88   42.404780   -122.885204   88
89   42.404780   -122.885204   88
90   42.404780   -122.885204   88
91   42.404780   -122.885204   88
92   42.404780   -122.885204   88
93   42.404780   -122.885204   88
94   42.404780   -122.885204   88
95   42.404780   -122.885204   88
96   42.404780   -122.885204   88
97   42.404780   -122.885204   88
98   42.404780   -122.885204   88
99   42.404780   -122.885204   88
100   42.404780   -122.885204   88
101   42.404780   -122.885204   88
102   42.404780   -122.885205   88
103   42.404780   -122.885205   88
104   42.404780   -122.885205   88
105   42.404780   -122.885205   88
106   42.404780   -122.885205   88
107   42.404780   -122.885205   88
108   42.404780   -122.885205   88
109   42.404780   -122.885205   88
110   42.404780   -122.885205   88
111   42.404780   -122.885205   88
113   42.404780   -122.885205   88
114   42.404780   -122.885205   88
115   42.404780   -122.885205   88
116   42.404780   -122.885205   88
117   42.404780   -122.885205   88
118   42.404780   -122.885205   88
119   42.404780   -122.885205   88
120   42.404780   -122.885205   88
121   42.404780   -122.885205   88
122   42.404780   -122.885205   88
123   42.404780   -122.885205   88
124   42.404780   -122.885205   88
125   42.404780   -122.885205   88
126   42.404780   -122.885205   88
127   42.404780   -122.885205   88
128   42.404780   -122.885205   88
129   42.404780   -122.885205   88
130   42.404780   -122.885205   88
131   42.404780   -122.885205   88
132   42.404780   -122.885205   88
133   42.404780   -122.885205   88
134   42.404780   -122.885205   88
135   42.404780   -122.885205   88
136   42.404780   -122.885205   88
137   42.404780   -122.885205   88
138   42.404780   -122.885205   88
139   42.404780   -122.885205   88
140   42.404780   -122.885205   88
141   42.404780   -122.885205   88
142   42.404780   -122.885205   88
143   42.404780   -122.885205   88
144   42.404780   -122.885205   88
145   42.404780   -122.885205   88
146   42.404780   -122.885205   88
147   42.404780   -122.885205   88
148   42.404780   -122.885205   88
149   42.404780   -122.885205   88
150   42.404780   -122.885205   88
151   42.404780   -122.885206   88
152   42.404780   -122.885206   88
153   42.404780   -122.885206   88
154   42.404780   -122.885206   88
155   42.404780   -122.885206   88
156   42.404780   -122.885206   88
157   42.404780   -122.885206   88
158   42.404780   -122.885206   88
159   42.404780   -122.885206   88
160   42.404780   -122.885206   88
161   42.404780   -122.885206   88
162   42.404780   -122.885206   88
163   42.404780   -122.885206   88
164   42.404780   -122.885206   88
165   42.404780   -122.885206   88
166   42.404780   -122.885206   88
167   42.404780   -122.885206   88
168   42.404780   -122.885206   88
169   42.404780   -122.885206   88
170   42.404780   -122.885206   88
171   42.404780   -122.885206   88
172   42.404780   -122.885206   88
173   42.404780   -122.885206   88
174   42.404780   -122.885206   88
175   42.404780   -122.885206   88
176   42.404780   -122.885206   88
177   42.404780   -122.885206   88
178   42.404780   -122.885206   88
179   42.404780   -122.885206   88
180   42.404780   -122.885206   88
181   42.404780   -122.885206   88
182   42.404780   -122.885206   88
183   42.404780   -122.885206   88
184   42.404780   -122.885206   88
185   42.404780   -122.885207   88
186   42.404780   -122.885207   88
187   42.404780   -122.885207   88
188   42.404780   -122.885207   88
189   42.404780   -122.885207   88
190   42.404780   -122.885207   88
191   42.404780   -122.885207   88
192   42.404780   -122.885206   88
193   42.404780   -122.885206   88
194   42.404780   -122.885206   88
195   42.404780   -122.885206   88
196   42.404780   -122.885205   88
197   42.404780   -122.885205   88
198   42.404780   -122.885205   88
199   42.404780   -122.885205   88
200   42.404780   -122.885205   88
201   42.404780   -122.885205   88
202   42.404780   -122.885205   88
203   42.404780   -122.885205   88
204   42.404779   -122.885205   88
205   42.404779   -122.885205   88
206   42.404779   -122.885205   88
207   42.404779   -122.885205   88
208   42.404779   -122.885205   88
209   42.404779   -122.885205   88
210   42.404779   -122.885205   88
