count(10HZ)  latitude    longtitude  batteryPercent
0   42.406429 -122.885239 N/A
1   42.406429 -122.885239 N/A
2   42.406430   -122.885239   71
3   42.406430   -122.885239   71
4   42.406430   -122.885239   71
5   42.406430   -122.885239   71
6   42.406430   -122   71
7   42   -122.885239   71
8   42.406430   -122.885239   71
9   42.406430   -122.885239   71
10   42.406430   -122.885239   71
11   42.406430   -122.885239   71
12   42.406430   -122.885239   71
13   42.406430   -122.885239   71
14   42.406430   -122.885239   71
15   42.406430   -122.885239   71
16   42.406430   -122.885239   71
17   42.406430   -122.885239   71
18   42.406430   -122.885239   71
19   42.406430   -122.885239   71
20   42.406430   -122.885239   71
21   42.406430   -122.885239   71
22   42.406430   -122.885239   71
23   42.406430   -122.885239   71
24   42.406430   -122.885240   71
25   42.406430   -122.885240   71
26   42.406430   -122.885240   71
27   42.406430   -122.885240   71
28   42.406430   -122.885240   71
30   42.406430   -122.885240   71
31   42.406430   -122.885240   71
32   42.406430   -122.885240   71
33   42.406429   -122.885240   71
34   42.406430   -122.885240   71
35   42.406430   -122.885240   71
36   42.406430   -122.885240   71
37   42.406430   -122.885240   71
38   42.406429   -122.885240   71
39   42.406429   -122.885240   71
40   42.406429   -122.885240   71
41   42.406429   -122.885240   71
42   42.406429   -122.885240   71
43   42.406429   -122.885240   71
44   42.406429   -122.885240   71
45   42.406429   -122.885240   71
46   42.406429   -122.885240   71
47   42.406429   -122.885240   71
48   42.406429   -122.885240   71
49   42.406429   -122.885240   71
50   42.406429   -122.885240   71
51   42.406429   -122.885240   71
52   42.406429   -122.885240   71
53   42.406429   -122.885240   71
54   42.406429   -122.885240   71
55   42.406429   -122.885240   71
56   42.406429   -122.885240   71
57   42.406429   -122.885240   71
58   42.406429   -122.885240   71
59   42.406429   -122.885240   71
60   42.406429   -122.885240   71
61   42.406429   -122.885240   71
62   42.406429   -122.885240   71
63   42.406429   -122.885240   71
64   42.406429   -122.885239   71
65   42.406429   -122.885239   71
66   42.406429   -122.885239   71
67   42.406429   -122.885240   71
68   42.406429   -122.885240   71
69   42.406429   -122.885239   71
70   42.406429   -122.885239   71
71   42.406429   -122.885239   71
72   42.406429   -122.885238   71
73   42.406429   -122.885238   71
74   42.406429   -122.885237   71
75   42.406429   -122.885236   71
76   42.406429   -122.885235   71
77   42.406429   -122.885233   71
78   42.406429   -122.885231   71
79   42.406429   -122.885230   71
80   42.406429   -122.885227   71
81   42.406429   -122.885225   71
82   42.406429   -122.885223   71
83   42.406429   -122.885221   71
84   42.406429   -122.885219   71
85   42.406429   -122.885217   71
86   42.406429   -122.885215   71
87   42.406429   -122.885214   71
88   42.406429   -122.885213   71
89   42.406429   -122.885212   71
90   42.406429   -122.885212   71
91   42.406429   -122.885211   71
92   42.406429   -122.885211   71
93   42.406429   -122.885210   71
94   42.406429   -122.885210   71
95   42.406429   -122.885210   71
96   42.406429   -122.885210   71
97   42.406429   -122.885210   71
98   42.406428   -122.885210   71
99   42.406428   -122.885211   71
100   42.406428   -122.885211   71
101   42.406428   -122.885212   71
102   42.406427   -122.885213   71
103   42.406427   -122.885214   71
104   42.406427   -122.885214   71
105   42.406427   -122.885214   71
106   42.406426   -122.885213   71
107   42.406426   -122.885213   71
108   42.406426   -122.885212   71
109   42.406425   -122.885211   71
110   42.406425   -122.885211   71
111   42.406425   -122.885211   71
112   42.406425   -122.885211   71
113   42.406425   -122.885211   71
115   42.406424   -122.885212   71
116   42.406424   -122.885212   71
117   42.406424   -122.885213   71
118   42.406424   -122.885213   71
119   42.406424   -122.885213   71
120   42.406424   -122.885213   71
121   42.406424   -122.885213   71
122   42.406423   -122.885213   71
123   42.406423   -122.885213   71
124   42.406423   -122.885213   71
125   42.406423   -122.885213   71
126   42.406423   -122.885213   71
127   42.406423   -122.885212   71
128   42.406423   -122.885212   71
129   42.406423   -122.885212   71
130   42.406423   -122.885212   71
132   42.406424   -122.885212   71
133   42.406424   -122.885212   71
134   42.406425   -122.885211   71
135   42.406426   -122.885211   71
136   42.406427   -122.885211   71
137   42.406428   -122.885211   71
138   42.406429   -122.885211   71
139   42.406430   -122.885211   71
140   42.406430   -122.885211   71
141   42.406431   -122.885211   71
142   42.406431   -122.885211   71
143   42.406431   -122.885211   71
144   42.406431   -122.885211   71
145   42.406431   -122.885211   71
146   42.406430   -122.885211   71
147   42.406430   -122.885211   71
148   42.406430   -122.885211   71
151   42.406429   -122.885210   71
152   42.406429   -122.885210   71
153   42.406429   -122.885210   71
154   42.406429   -122.885210   71
155   42.406429   -122.885210   71
156   42.406429   -122.885209   71
157   42.406429   -122.885209   71
158   42.406429   -122.885209   71
159   42.406429   -122.885209   71
160   42.406429   -122.885209   71
161   42.406429   -122.885209   71
162   42.406430   -122.885209   71
163   42.406430   -122.885209   71
164   42.406430   -122.885209   71
165   42.406430   -122.885209   71
166   42.406430   -122.885209   71
167   42.406430   -122.885209   71
168   42.406431   -122.885209   71
169   42.406431   -122.885209   71
170   42.406431   -122.885209   71
171   42.406431   -122.885209   71
